,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,Washington,Apartment in Washington,1,2,False,True,,,,,True,True,True,True,,False,465,4,4.75
1,Washington,Apartment in Washington,1,2,False,True,True,True,True,,True,True,True,,True,False,874,36,4.89
2,Washington,Guest suite in Washington,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
3,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,,False,748,27,4.56
4,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,True,True,1018,104,4.74
5,Washington,Room in Washington,1,2,False,True,True,True,,True,True,True,True,True,,False,363,51,4.63
6,Washington,Room in Washington,1,2,False,True,True,True,True,,True,,True,,True,False,590,10,4.1
7,Washington,Room in Washington,1,2,False,True,True,True,True,True,True,True,True,True,True,False,426,219,4.59
8,Washington,Apartment in Washington,2,4,True,True,,True,True,,True,True,True,True,True,False,622,2,5.0
9,Takoma Park,Room in Takoma Park,1,1,,True,True,True,True,True,True,True,,True,,False,255,3,5.0
10,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,,True,True,1050,137,4.76
11,Washington,Guest suite in Washington,2,4,False,True,,True,True,,True,True,True,True,,True,746,185,4.89
12,Alexandria,Apartment in Alexandria,1,6,False,True,True,True,True,,True,True,True,True,True,False,881,131,4.79
13,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,True,True,True,934,0,0.0
14,Washington,Apartment in Washington,2,5,True,True,True,True,True,,True,True,True,,True,True,1446,100,4.78
15,Arlington,Room in Arlington,1,1,False,True,True,,,True,True,True,True,True,,True,391,83,4.81
16,Washington,Room in Washington,1,1,False,True,True,True,True,True,True,True,True,True,True,True,283,7,4.71
17,Alexandria,Room in Alexandria,1,2,False,True,True,True,,True,True,True,True,True,,True,345,181,4.73
18,Washington,Apartment in Washington,1,2,False,True,True,True,True,,True,True,True,,True,False,874,36,4.89
19,Washington,Guest suite in Washington,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
20,Washington,Apartment in Washington,1,2,False,True,,,,,True,True,True,True,,False,465,4,4.75
