,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,Chicago,Room in Austin,1,1,False,True,True,True,True,True,True,True,True,True,True,False,232,36,4.81
1,Chicago,Apartment in Near North Side,1,2,True,True,True,True,True,,True,True,True,True,True,False,1278,173,4.83
2,Chicago,Room in Pilsen Historic District,1,1,False,True,True,True,True,True,True,True,True,,,True,393,15,5.0
3,Chicago,Room in Austin,1,2,False,True,True,True,True,True,True,True,True,True,True,False,307,34,4.97
4,Chicago,Apartment in Hyde Park,1,3,True,True,True,True,True,,True,True,True,True,True,False,592,20,4.3
5,Chicago,Room in Brighton Park,1,2,False,True,True,True,True,True,True,True,True,True,,False,301,24,4.71
6,Chicago,Room in Hyde Park,1,1,False,True,True,True,True,,True,True,True,True,True,True,666,218,4.99
7,Chicago,Apartment in West Rogers Park,1,2,False,True,,True,True,,True,True,True,True,,True,674,9,4.78
8,Chicago,Apartment in East Rogers Park,1,2,False,True,,True,True,,True,True,True,,True,False,671,0,0.0
9,Chicago,Apartment in Hyde Park,1,2,False,True,True,,True,,True,True,True,True,True,False,789,28,4.71
10,Chicago,Room in Douglas Park,1,1,False,True,True,True,True,True,,True,,,,False,269,228,4.42
11,Chicago,Apartment in Chicago,1,2,False,True,True,True,True,,True,True,True,True,,False,473,8,5.0
12,Chicago,Condo in Chicago,1,2,True,True,True,,True,,True,True,True,,,False,767,12,4.83
13,Chicago,Apartment in Austin,3,4,False,True,True,True,True,,True,True,True,True,True,False,490,53,4.42
14,Chicago,Apartment in West Rogers Park,1,4,False,True,True,True,True,,True,True,True,True,,True,731,6,5.0
15,Chicago,Apartment in Hyde Park,1,3,True,True,True,True,True,,True,True,True,True,True,False,649,15,4.13
16,Chicago,Place to stay in Bridgeport,1,2,False,True,True,True,True,,True,True,True,,True,False,422,3,4.67
17,Chicago,Room in North Park,1,1,False,True,True,True,True,True,True,True,,True,True,True,377,35,4.74
18,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,True,True,True,True,True,False,232,36,4.81
19,Chicago,Room in Chicago,1,2,False,True,True,True,True,True,True,True,True,True,True,False,307,34,4.97
20,Chicago,Apartment in Chicago,1,2,True,True,True,True,True,,True,True,True,True,True,False,1278,173,4.83
21,Chicago,Room in Chicago,1,2,False,True,True,True,True,True,True,True,True,True,,False,301,24,4.71
22,Chicago,Apartment in Chicago,1,3,True,True,True,True,True,,True,True,True,True,True,False,592,20,4.3
23,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,True,True,True,,,True,393,15,5.0
24,Chicago,Apartment in Chicago,3,4,False,True,True,True,True,,True,True,True,True,True,False,490,53,4.42
25,Chicago,Apartment in Chicago,1,2,False,True,True,True,True,,True,True,True,True,,False,473,8,5.0
26,Chicago,Apartment in Chicago,1,2,False,True,,True,True,,True,True,True,True,,True,674,9,4.78
27,Chicago,Apartment in Chicago,1,2,False,True,True,,True,,True,True,True,True,True,False,789,28,4.71
28,Chicago,Apartment in Chicago,1,2,False,True,,True,True,,True,True,True,,True,False,671,0,0.0
29,Chicago,Room in Chicago,1,1,False,True,True,True,True,,True,True,True,True,True,True,666,218,4.99
30,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,,True,,,,False,269,228,4.42
31,Maywood,Shared room in Maywood,1,1,False,True,True,,True,,,True,True,True,,False,149,65,4.45
32,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,True,True,,True,True,True,377,35,4.74
33,Chicago,Apartment in Chicago,1,4,False,True,True,True,True,,True,True,True,True,,True,731,6,5.0
34,Chicago,Place to stay in Chicago,1,2,False,True,True,True,True,,True,True,True,,True,False,422,3,4.67
35,Chicago,Condo in Chicago,1,2,True,True,True,,True,,True,True,True,,,False,767,12,4.83
36,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,True,True,True,True,True,False,232,36,4.81
37,Chicago,Apartment in Chicago,1,2,True,True,True,True,True,,True,True,True,True,True,False,1278,173,4.83
38,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,True,True,True,,,True,393,15,5.0
39,Chicago,Room in Chicago,1,2,False,True,True,True,True,True,True,True,True,True,True,False,307,34,4.97
40,Chicago,Apartment in Chicago,1,3,True,True,True,True,True,,True,True,True,True,True,False,592,20,4.3
41,Chicago,Room in Chicago,1,2,False,True,True,True,True,True,True,True,True,True,,False,301,24,4.71
42,Chicago,Room in Chicago,1,1,False,True,True,True,True,,True,True,True,True,True,True,666,218,4.99
43,Chicago,Apartment in Chicago,1,2,False,True,,True,True,,True,True,True,True,,True,674,9,4.78
44,Chicago,Apartment in Chicago,1,2,False,True,,True,True,,True,True,True,,True,False,671,0,0.0
45,Chicago,Apartment in Chicago,1,2,False,True,True,,True,,True,True,True,True,True,False,789,28,4.71
46,Chicago,Room in Chicago,1,1,False,True,True,True,True,True,,True,,,,False,269,228,4.42
