,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
245,San Antonio,Guesthouse in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,198,15,4.73
246,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,False,312,162,4.69
247,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
248,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,False,320,56,4.84
249,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
250,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,342,52,4.87
251,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,372,8,4.75
252,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
253,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,281,68,4.84
254,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,False,386,2,4.5
255,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,True,297,152,4.82
256,San Antonio,Guesthouse in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,198,15,4.73
257,San Antonio,Condo in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,True,340,19,4.89
258,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,339,104,4.93
259,Cibolo,Room in Cibolo,1,2,True,True,True,True,True,,True,True,True,True,True,False,139,91,4.92
260,Converse,Room in Converse,1,2,False,True,True,,,True,True,True,True,True,,False,136,11,5.0
261,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,False,312,162,4.69
262,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,730,68,4.97
263,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
264,San Antonio,Room in San Antonio,1,1,False,True,True,,True,True,True,,True,,,False,152,0,0.0
265,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,319,334,4.85
266,San Antonio,Tiny home in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,,False,196,5,4.6
267,San Antonio,Apartment in San Antonio,1,4,False,True,True,True,True,,True,True,True,True,True,False,372,1,5.0
268,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,319,74,4.81
269,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
