,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,New York,Room in New York,1,1,False,True,,,True,True,True,,True,,,False,317,10,4.8
1,New York,Room in New York,1,2,False,True,,,True,True,True,True,True,,,False,520,119,4.74
2,The Bronx,Guesthouse in The Bronx,1,1,,True,,True,True,,True,,True,,,False,263,2,5.0
3,Queens,Place to stay in New York,1,2,False,True,True,True,,,True,True,,True,,True,478,22,5.0
4,Queens,Room in New York,1,1,False,,,True,,True,True,True,,True,,False,205,21,4.71
5,Jersey City,Place to stay in Jersey City,1,2,False,True,True,True,True,,True,True,True,True,True,True,337,0,0.0
6,New York,Room in New York,1,1,False,True,,True,True,,True,,,True,True,True,647,23,5.0
7,Brooklyn,Place to stay in Brooklyn,1,1,False,True,True,True,True,,True,True,True,True,True,True,702,32,4.88
8,Brooklyn,Room in Brooklyn,1,2,,,True,True,True,,,True,,True,,True,388,1,5.0
9,New York,Room in New York,1,2,False,True,True,True,True,True,True,True,,,True,False,335,34,4.76
10,The Bronx,Room in The Bronx,1,2,False,True,True,True,True,True,True,True,True,True,,True,273,45,4.91
11,Queens,Room in New York,1,1,True,True,,True,True,True,True,True,True,True,,True,355,69,4.61
12,North Bergen,Room in North Bergen,1,1,False,True,,True,True,True,True,,,,,False,334,14,4.86
13,Elmont,Room in Elmont,1,1,False,True,,True,,True,True,,True,,,True,242,9,5.0
14,New York,Place to stay in New York,1,2,False,True,True,True,True,,True,True,True,True,,True,283,50,4.86
15,Harrison,Room in Harrison,1,2,False,True,,True,True,,True,True,,True,True,False,192,0,0.0
16,Jersey City,Apartment in Jersey City,1,2,False,True,True,True,True,,True,True,True,True,True,False,546,9,4.56
17,Newark,Apartment in Newark,1,1,False,True,,True,True,,True,True,True,True,,False,353,1,5.0
18,New York,Room in New York,1,1,False,True,,,True,True,True,,True,,,False,317,10,4.8
19,New York,Room in New York,1,2,False,True,,,True,True,True,True,True,,,False,520,119,4.74
20,New York,Room in New York,1,1,False,True,,True,True,,True,,,True,True,True,647,23,5.0
21,The Bronx,Guesthouse in The Bronx,1,1,,True,,True,True,,True,,True,,,False,263,2,5.0
22,New York,Apartment in New York,1,3,False,True,True,True,True,,True,True,,True,True,True,1213,8,4.88
23,Jersey City,Place to stay in Jersey City,1,2,False,True,True,True,True,,True,True,True,True,True,True,337,0,0.0
24,New York,Apartment in New York,1,2,False,True,,,True,,True,,True,,,False,1191,4,5.0
25,Queens,Place to stay in New York,1,2,False,True,True,True,,,True,True,,True,,True,478,22,5.0
26,New York,Room in New York,1,2,False,True,True,True,True,True,True,True,,,True,False,335,34,4.76
27,Brooklyn,Place to stay in Brooklyn,1,1,False,True,True,True,True,,True,True,True,True,True,True,702,32,4.88
28,Brooklyn,Room in Brooklyn,1,2,,,True,True,True,,,True,,True,,True,388,1,5.0
29,Queens,Room in New York,1,1,False,,,True,,True,True,True,,True,,False,205,21,4.71
30,Union City,Guest suite in Union City,1,2,True,True,True,,True,,True,True,True,True,,False,635,144,4.67
31,Queens,Apartment in New York,2,4,False,True,,True,True,,True,True,True,,,True,582,191,4.56
32,North Bergen,Room in North Bergen,1,1,False,True,,True,True,True,True,,,,,False,334,14,4.86
33,Queens,Room in New York,1,1,True,True,,True,True,True,True,True,True,True,,True,355,69,4.61
34,New York,Room in New York,1,1,False,True,,,True,True,True,True,,,,False,595,8,4.38
35,Brooklyn,Guest suite in Brooklyn,1,2,False,True,True,True,True,,True,True,True,True,True,False,382,256,4.73
36,New York,Room in New York,1,1,False,True,,,True,True,True,,True,,,False,317,10,4.8
37,New York,Room in New York,1,2,False,True,,,True,True,True,True,True,,,False,520,119,4.74
38,The Bronx,Guesthouse in The Bronx,1,1,,True,,True,True,,True,,True,,,False,263,2,5.0
39,Queens,Place to stay in New York,1,2,False,True,True,True,,,True,True,,True,,True,478,22,5.0
40,Queens,Room in New York,1,1,False,,,True,,True,True,True,,True,,False,205,21,4.71
41,Jersey City,Place to stay in Jersey City,1,2,False,True,True,True,True,,True,True,True,True,True,True,337,0,0.0
42,New York,Room in New York,1,1,False,True,,True,True,,True,,,True,True,True,647,23,5.0
43,Brooklyn,Place to stay in Brooklyn,1,1,False,True,True,True,True,,True,True,True,True,True,True,702,32,4.88
44,Brooklyn,Room in Brooklyn,1,2,,,True,True,True,,,True,,True,,True,388,1,5.0
45,New York,Room in New York,1,2,False,True,True,True,True,True,True,True,,,True,False,335,34,4.76
46,The Bronx,Room in The Bronx,1,2,False,True,True,True,True,True,True,True,True,True,,True,273,45,4.91
47,Queens,Room in New York,1,1,True,True,,True,True,True,True,True,True,True,,True,355,69,4.61
48,North Bergen,Room in North Bergen,1,1,False,True,,True,True,True,True,,,,,False,334,14,4.86
49,Elmont,Room in Elmont,1,1,False,True,,True,,True,True,,True,,,True,242,9,5.0
50,New York,Place to stay in New York,1,2,False,True,True,True,True,,True,True,True,True,,True,283,50,4.86
51,Harrison,Room in Harrison,1,2,False,True,,True,True,,True,True,,True,True,False,192,0,0.0
52,Jersey City,Apartment in Jersey City,1,2,False,True,True,True,True,,True,True,True,True,True,False,546,9,4.56
53,Newark,Apartment in Newark,1,1,False,True,,True,True,,True,True,True,True,,False,353,1,5.0
54,New York,Room in New York,1,1,False,True,,,True,True,True,,True,,,False,317,10,4.8
55,New York,Room in New York,1,2,False,True,,,True,True,True,True,True,,,False,520,119,4.74
56,New York,Room in New York,1,1,False,True,,True,True,,True,,,True,True,True,647,23,5.0
57,The Bronx,Guesthouse in The Bronx,1,1,,True,,True,True,,True,,True,,,False,263,2,5.0
58,New York,Apartment in New York,1,3,False,True,True,True,True,,True,True,,True,True,True,1213,8,4.88
59,New York,Apartment in New York,1,2,False,True,,,True,,True,,True,,,False,1191,4,5.0
60,Jersey City,Place to stay in Jersey City,1,2,False,True,True,True,True,,True,True,True,True,True,True,337,0,0.0
61,Queens,Place to stay in New York,1,2,False,True,True,True,,,True,True,,True,,True,478,22,5.0
62,Queens,Apartment in New York,1,2,False,True,,True,True,,True,True,True,,,False,794,25,4.72
63,Brooklyn,Place to stay in Brooklyn,1,1,False,True,True,True,True,,True,True,True,True,True,True,702,32,4.88
64,Brooklyn,Room in Brooklyn,1,2,,,True,True,True,,,True,,True,,True,388,1,5.0
65,Queens,Room in New York,1,1,False,,,True,,True,True,True,,True,,False,205,21,4.71
66,New York,Room in New York,1,2,False,True,True,True,True,True,True,True,,,True,False,335,34,4.76
67,Queens,Apartment in New York,2,4,False,True,,True,True,,True,True,True,,,True,582,191,4.56
68,Brooklyn,Apartment in Brooklyn,2,3,False,True,True,True,True,,True,True,,True,,True,695,19,4.95
69,Queens,Room in New York,1,1,True,True,,True,True,True,True,True,True,True,,True,355,69,4.61
70,Brooklyn,Apartment in Brooklyn,1,2,False,True,,,True,,True,,True,,,False,395,0,0.0
71,Brooklyn,Room in Brooklyn,1,2,False,True,,True,True,True,True,True,,True,,True,421,17,4.71
72,New York,Room in New York,1,1,False,True,,,True,True,True,,True,,,False,317,10,4.8
73,New York,Room in New York,1,2,False,True,,,True,True,True,True,True,,,False,520,119,4.74
74,New York,Room in New York,1,1,False,True,,True,True,,True,,,True,True,True,647,23,5.0
75,New York,Apartment in New York,1,3,False,True,True,True,True,,True,True,,True,True,True,1213,8,4.88
76,New York,Room in New York,1,2,False,True,,True,,,True,True,True,,,True,1136,101,4.8
77,The Bronx,Guesthouse in The Bronx,1,1,,True,,True,True,,True,,True,,,False,263,2,5.0
78,New York,Room in New York,1,2,False,True,True,True,True,True,True,True,,,True,False,335,34,4.76
79,Brooklyn,Place to stay in Brooklyn,1,1,False,True,True,True,True,,True,True,True,True,True,True,702,32,4.88
80,New York,Apartment in New York,1,2,False,True,,,True,,True,,True,,,False,1191,4,5.0
81,New York,Apartment in New York,1,3,False,True,,True,True,,True,True,True,,True,False,1070,17,4.65
82,New York,Hotel in New York,1,2,True,True,,,,,True,True,True,True,,False,993,34,4.06
83,New York,Room in New York,1,1,False,True,,,True,,True,,True,,True,True,777,17,4.94
84,New York,Place to stay in New York,1,4,True,True,,True,True,,,True,True,,,True,638,3,5.0
85,New York,Place to stay in New York,1,2,False,True,True,,True,,True,True,True,,,False,541,0,0.0
86,New York,Hotel in New York,1,2,False,True,True,True,,,True,True,,,,False,718,85,4.69
87,New York,Room in New York,1,2,False,True,,True,True,,True,True,True,True,,False,759,8,4.63
88,Queens,Room in New York,1,1,True,True,,True,True,True,True,True,True,True,,True,355,69,4.61
