,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,Medford,Room in Medford,1,2,False,True,True,True,True,True,True,True,True,True,True,True,402,38,4.76
1,Boston,Townhouse in Boston,1,3,False,True,True,True,True,,True,True,True,True,True,True,1059,31,4.81
2,Boston,Room in Boston,1,2,False,True,,True,True,True,True,True,,True,,False,413,49,4.76
3,Boston,Place to stay in Boston,1,2,False,True,,True,True,,True,True,True,True,True,False,627,6,5.0
4,Boston,Room in Boston,1,2,True,True,True,True,True,,True,True,True,,True,False,366,20,4.4
5,Watertown,Room in Watertown,1,2,False,True,True,True,True,True,True,True,True,True,True,False,369,45,4.78
6,Somerville,Room in Somerville,1,2,False,True,True,,True,True,True,True,True,,True,False,342,37,3.81
7,Waltham,Room in Waltham,1,2,False,True,True,True,,True,True,True,True,,True,True,304,18,4.83
8,Boston,Room in Boston,1,2,False,True,True,True,True,True,True,True,,,True,False,478,51,4.71
9,Boston,Apartment in Boston,1,2,False,True,,,True,,True,True,True,,,False,913,0,0.0
10,Boston,Apartment in Boston,2,4,True,True,True,True,True,,True,True,True,True,True,False,1465,5,5.0
11,Malden,Condo in Malden,2,4,False,True,True,True,True,,True,True,True,,True,False,799,103,4.79
12,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,True,,True,True,False,440,42,4.57
13,Melrose,Apartment in Melrose,2,4,False,True,True,True,True,,True,True,True,True,True,False,814,38,4.66
14,Waltham,Room in Waltham,1,2,False,True,True,True,True,,True,True,True,,True,False,399,37,4.81
15,Boston,Room in Boston,1,2,False,True,True,True,,,True,True,,,,False,346,37,4.32
16,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,,,,True,False,431,7,4.71
17,Cambridge,Room in Cambridge,1,1,False,True,True,True,True,True,True,True,True,True,,True,727,36,4.94
18,Medford,Room in Medford,1,2,False,True,True,True,True,True,True,True,True,True,True,True,402,38,4.76
19,Boston,Townhouse in Boston,1,3,False,True,True,True,True,,True,True,True,True,True,True,1059,31,4.81
20,Watertown,Room in Watertown,1,2,False,True,True,True,True,True,True,True,True,True,True,False,369,45,4.78
21,Boston,Room in Boston,1,2,False,True,,True,True,True,True,True,,True,,False,413,49,4.76
22,Boston,Room in Boston,1,2,True,True,True,True,True,,True,True,True,,True,False,366,20,4.4
23,Waltham,Room in Waltham,1,2,False,True,True,True,,True,True,True,True,,True,True,304,18,4.83
24,Boston,Room in Boston,1,2,False,True,True,True,True,True,True,True,,,True,False,478,51,4.71
25,Boston,Place to stay in Boston,1,2,False,True,,True,True,,True,True,True,True,True,False,627,6,5.0
26,Somerville,Room in Somerville,1,2,False,True,True,,True,True,True,True,True,,True,False,342,37,3.81
27,Boston,Room in Boston,1,2,False,True,True,True,,,True,True,,,,False,346,37,4.32
28,Boston,Apartment in Boston,1,2,False,True,,,True,,True,True,True,,,False,913,0,0.0
29,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,True,,True,True,False,440,42,4.57
30,Malden,Condo in Malden,2,4,False,True,True,True,True,,True,True,True,,True,False,799,103,4.79
31,Boston,Apartment in Boston,2,4,True,True,True,True,True,,True,True,True,True,True,False,1465,5,5.0
32,Boston,Apartment in Boston,3,6,True,True,True,True,True,,True,True,True,True,True,False,1146,3,5.0
33,Waltham,Room in Waltham,1,2,False,True,True,True,True,,True,True,True,,True,False,399,37,4.81
34,Melrose,Apartment in Melrose,2,4,False,True,True,True,True,,True,True,True,True,True,False,814,38,4.66
35,Cambridge,Room in Cambridge,1,1,False,True,True,True,True,True,True,True,True,True,,True,727,36,4.94
36,Medford,Room in Medford,1,2,False,True,True,True,True,True,True,True,True,True,True,True,402,38,4.76
37,Boston,Townhouse in Boston,1,3,False,True,True,True,True,,True,True,True,True,True,True,1059,31,4.81
38,Waltham,Room in Waltham,1,2,False,True,True,True,,True,True,True,True,,True,True,304,18,4.83
39,Watertown,Room in Watertown,1,2,False,True,True,True,True,True,True,True,True,True,True,False,369,45,4.78
40,Boston,Room in Boston,1,2,False,True,,True,True,True,True,True,,True,,False,413,49,4.76
41,Malden,Condo in Malden,2,4,False,True,True,True,True,,True,True,True,,True,False,799,103,4.79
42,Boston,Place to stay in Boston,1,2,False,True,,True,True,,True,True,True,True,True,False,627,6,5.0
43,Somerville,Room in Somerville,1,2,False,True,True,,True,True,True,True,True,,True,False,342,37,3.81
44,Boston,Room in Boston,1,2,False,True,True,True,True,True,True,True,,,True,False,478,51,4.71
45,Boston,Room in Boston,1,2,True,True,True,True,True,,True,True,True,,True,False,366,20,4.4
46,Melrose,Apartment in Melrose,2,4,False,True,True,True,True,,True,True,True,True,True,False,814,38,4.66
47,Waltham,Room in Waltham,1,2,False,True,True,True,True,,True,True,True,,True,False,399,37,4.81
48,Boston,Apartment in Boston,2,4,True,True,True,True,True,,True,True,True,True,True,False,1465,5,5.0
49,Boston,Room in Boston,1,2,False,True,True,True,,,True,True,,,,False,346,37,4.32
50,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,,,,True,False,431,7,4.71
51,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,True,,True,True,False,440,42,4.57
52,Everett,Condo in Everett,1,2,True,True,True,True,True,,True,True,True,True,True,True,935,40,4.85
53,Boston,Apartment in Boston,3,6,True,True,True,True,True,,True,True,True,True,True,False,1146,3,5.0
54,Boston,Townhouse in Boston,1,3,False,True,True,True,True,,True,True,True,True,True,True,1059,31,4.81
55,Medford,Room in Medford,1,2,False,True,True,True,True,True,True,True,True,True,True,True,402,38,4.76
56,Boston,Place to stay in Boston,1,2,False,True,,True,True,,True,True,True,True,True,False,627,6,5.0
57,Boston,Room in Boston,1,2,False,True,,True,True,True,True,True,,True,,False,413,49,4.76
58,Boston,Room in Boston,1,2,True,True,True,True,True,,True,True,True,,True,False,366,20,4.4
59,Watertown,Room in Watertown,1,2,False,True,True,True,True,True,True,True,True,True,True,False,369,45,4.78
60,Boston,Room in Boston,1,2,False,True,True,True,True,True,True,True,,,True,False,478,51,4.71
61,Waltham,Room in Waltham,1,2,False,True,True,True,,True,True,True,True,,True,True,304,18,4.83
62,Somerville,Room in Somerville,1,2,False,True,True,,True,True,True,True,True,,True,False,342,37,3.81
63,Malden,Condo in Malden,2,4,False,True,True,True,True,,True,True,True,,True,False,799,103,4.79
64,Boston,Apartment in Boston,2,4,True,True,True,True,True,,True,True,True,True,True,False,1465,5,5.0
65,Cambridge,Room in Cambridge,1,1,False,True,True,True,True,True,True,True,True,True,,True,727,36,4.94
66,Boston,Apartment in Boston,1,2,False,True,,,True,,True,True,True,,,False,913,0,0.0
67,Melrose,Apartment in Melrose,2,4,False,True,True,True,True,,True,True,True,True,True,False,814,38,4.66
68,Waltham,Room in Waltham,1,2,False,True,True,True,True,,True,True,True,,True,False,399,37,4.81
69,Boston,Room in Boston,1,2,False,True,True,True,,,True,True,,,,False,346,37,4.32
70,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,True,,True,True,False,440,42,4.57
71,Boston,Apartment in Boston,3,6,True,True,True,True,True,,True,True,True,True,True,False,1146,3,5.0
72,Medford,Room in Medford,1,2,False,True,True,True,True,True,True,True,True,True,True,True,402,38,4.76
73,Boston,Room in Boston,1,2,True,True,True,True,True,,True,True,True,,True,False,366,20,4.4
74,Boston,Townhouse in Boston,1,3,False,True,True,True,True,,True,True,True,True,True,True,1059,31,4.81
75,Boston,Room in Boston,1,2,False,True,,True,True,True,True,True,,True,,False,413,49,4.76
76,Boston,Place to stay in Boston,1,2,False,True,,True,True,,True,True,True,True,True,False,627,6,5.0
77,Watertown,Room in Watertown,1,2,False,True,True,True,True,True,True,True,True,True,True,False,369,45,4.78
78,Somerville,Room in Somerville,1,2,False,True,True,,True,True,True,True,True,,True,False,342,37,3.81
79,Boston,Apartment in Boston,1,2,False,True,,,True,,True,True,True,,,False,913,0,0.0
80,Boston,Room in Boston,1,2,False,True,True,True,True,True,True,True,,,True,False,478,51,4.71
81,Waltham,Room in Waltham,1,2,False,True,True,True,,True,True,True,True,,True,True,304,18,4.83
82,Malden,Condo in Malden,2,4,False,True,True,True,True,,True,True,True,,True,False,799,103,4.79
83,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,True,,True,True,False,440,42,4.57
84,Boston,Room in Boston,1,2,False,True,True,True,,,True,True,,,,False,346,37,4.32
85,Boston,Apartment in Boston,2,4,True,True,True,True,True,,True,True,True,True,True,False,1465,5,5.0
86,Waltham,Room in Waltham,1,2,False,True,True,True,True,,True,True,True,,True,False,399,37,4.81
87,Melrose,Apartment in Melrose,2,4,False,True,True,True,True,,True,True,True,True,True,False,814,38,4.66
88,Boston,Room in Boston,1,1,False,True,True,True,True,True,True,,,,True,False,431,7,4.71
89,Boston,Apartment in Boston,3,6,True,True,True,True,True,,True,True,True,True,True,False,1146,3,5.0
90,Boston,Townhouse in Boston,1,3,False,True,True,True,True,,True,True,True,True,True,True,1059,31,4.81
91,Medford,Room in Medford,1,2,False,True,True,True,True,True,True,True,True,True,True,True,402,38,4.76
92,Watertown,Room in Watertown,1,2,False,True,True,True,True,True,True,True,True,True,True,False,369,45,4.78
93,Boston,Room in Boston,1,2,False,True,,True,True,True,True,True,,True,,False,413,49,4.76
94,Boston,Room in Boston,1,2,True,True,True,True,True,,True,True,True,,True,False,366,20,4.4
