,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,Phoenix,Apartment in Phoenix,1,2,False,True,True,True,True,,True,True,True,True,True,False,319,46,4.85
1,Phoenix,Apartment in Phoenix,2,4,True,True,True,True,True,,True,True,True,True,True,True,342,17,4.88
2,Phoenix,Apartment in Phoenix,2,3,True,True,True,True,True,,True,True,True,True,True,False,300,3,5.0
3,Phoenix,Apartment in Phoenix,1,2,False,True,True,True,True,,True,True,True,,True,False,312,23,4.61
4,Phoenix,Apartment in Phoenix,2,4,False,True,True,True,True,,True,True,True,,True,True,297,111,4.86
5,Phoenix,Guesthouse in Phoenix,1,2,True,True,True,True,True,,True,True,True,True,,True,271,4,4.75
6,Scottsdale,Apartment in Scottsdale,1,2,False,True,True,True,True,,True,True,True,True,True,False,324,70,4.59
7,Phoenix,Room in Phoenix,1,2,False,True,True,,,True,True,True,True,True,,False,278,125,4.91
8,Phoenix,Apartment in Phoenix,2,6,True,True,True,True,True,,True,True,True,True,True,True,370,19,4.95
9,Scottsdale,Loft in Scottsdale,2,4,False,True,True,True,True,,True,True,True,True,True,False,336,135,4.71
10,Phoenix,Apartment in Phoenix,1,2,False,True,True,True,True,,True,True,True,True,True,True,368,106,4.98
11,Phoenix,Apartment in Phoenix,1,2,False,True,True,True,True,,True,True,True,True,True,True,412,173,4.94
12,Phoenix,Room in Phoenix,1,1,False,True,True,True,True,True,True,True,True,True,True,True,192,27,5.0
13,Phoenix,Apartment in Phoenix,2,4,False,True,True,True,True,,True,True,True,True,,True,331,31,4.9
14,Phoenix,Condo in Phoenix,2,3,False,True,True,True,True,,True,True,True,True,,False,328,10,5.0
15,Phoenix,Condo in Phoenix,1,2,False,True,True,True,True,,True,True,True,,,False,318,133,4.62
16,Scottsdale,Condo in Scottsdale,2,2,False,True,True,True,True,,True,True,True,True,,False,327,103,4.72
17,Phoenix,Condo in Phoenix,1,4,,True,True,True,True,,True,True,True,True,True,True,414,13,5.0
18,Phoenix,Apartment in Phoenix,2,3,True,True,True,True,True,,True,True,True,True,True,False,285,2,5.0
