,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,San Francisco,Guest suite in Mission District,1,2,False,True,,True,,,,True,True,True,,False,799,23,4.74
1,San Francisco,Boutique hotel in Downtown San Francisco-Union Square,1,2,False,True,,,,,True,True,True,True,True,False,475,289,4.44
2,San Francisco,Room in Potrero Hill,1,2,False,True,True,True,True,True,True,True,True,True,True,True,551,197,4.97
3,San Francisco,Room in Bernal Heights,1,1,False,True,True,True,True,True,,True,,True,,False,275,141,4.52
4,San Francisco,Home in Outer Sunset,1,2,False,True,True,True,True,,,True,True,True,,False,785,4,5.0
5,San Francisco,Home in Noe Valley,3,6,False,True,True,True,True,,,True,True,True,True,False,714,1,5.0
6,San Francisco,Boutique hotel in San Francisco,1,2,True,True,,,True,,,True,True,True,True,False,734,216,4.57
7,San Francisco,Apartment in Outer Sunset,2,3,False,True,,True,True,,,True,True,True,True,False,1052,0,0.0
8,San Francisco,Room in South of Market,1,2,False,True,True,True,True,True,,,True,,True,False,738,14,4.71
9,San Francisco,Hotel in Downtown San Francisco-Union Square,1,2,False,True,,True,,,,True,True,True,,False,353,3,5.0
10,San Francisco,Room in Outer Sunset,1,2,False,True,True,True,,True,,True,,True,,False,460,110,4.79
11,San Francisco,Place to stay in Potrero Hill,1,2,,True,,,True,,True,,True,,True,False,390,0,0.0
12,San Francisco,Room in Potrero Hill,1,2,False,True,True,True,True,True,,True,True,True,True,True,686,162,4.96
13,San Francisco,Condo in San Francisco,2,3,False,True,True,True,True,,,True,True,True,True,True,1601,86,4.97
14,San Francisco,Hotel room in Marina District,1,2,True,True,True,True,True,,,True,True,True,,False,902,595,4.78
15,San Francisco,Room in Inner Richmond,1,4,False,True,,True,True,True,,True,True,,,True,347,152,4.75
16,San Francisco,Room in Inner Richmond,1,2,False,True,True,True,True,True,,True,,,,True,404,246,4.76
17,San Francisco,Place to stay in West Portal,1,2,False,True,True,True,,,,True,,True,True,False,378,2,5.0
18,San Francisco,Boutique hotel in Downtown San Francisco-Union Square,1,2,False,True,,,,,True,True,True,True,True,False,475,289,4.44
19,San Francisco,Room in Potrero Hill,1,2,False,True,True,True,True,True,True,True,True,True,True,True,551,197,4.97
20,San Francisco,Guest suite in Mission District,1,2,False,True,,True,,,,True,True,True,,False,799,23,4.74
21,San Francisco,Boutique hotel in San Francisco,1,2,True,True,,,True,,,True,True,True,True,False,734,216,4.57
22,San Francisco,Room in Bernal Heights,1,1,False,True,True,True,True,True,,True,,True,,False,275,141,4.52
23,San Francisco,Room in Outer Sunset,1,2,False,True,True,True,,True,,True,,True,,False,460,110,4.79
24,San Francisco,Home in Noe Valley,3,6,False,True,True,True,True,,,True,True,True,True,False,714,1,5.0
25,San Francisco,Apartment in Outer Sunset,2,3,False,True,,True,True,,,True,True,True,True,False,1052,0,0.0
26,San Francisco,Hotel in Downtown San Francisco-Union Square,1,2,False,True,,True,,,,True,True,True,,False,353,3,5.0
27,San Francisco,Room in Inner Richmond,1,2,False,True,True,True,True,True,,True,,,,True,404,246,4.76
28,San Francisco,Place to stay in Potrero Hill,1,2,,True,,,True,,True,,True,,True,False,390,0,0.0
29,San Francisco,Place to stay in West Portal,1,2,False,True,True,True,,,,True,,True,True,False,378,2,5.0
30,San Francisco,Home in Outer Sunset,1,2,False,True,True,True,True,,,True,True,True,,False,785,4,5.0
31,San Francisco,Room in South of Market,1,2,False,True,True,True,True,True,,,True,,True,False,738,14,4.71
32,San Francisco,Room in Potrero Hill,1,2,False,True,True,True,True,True,,True,True,True,True,True,686,162,4.96
33,San Francisco,Room in Outer Sunset,1,3,False,True,True,,,True,,True,,True,,False,502,159,4.69
34,San Francisco,Guest suite in Oceanview,1,2,False,True,True,True,True,,,True,True,True,True,True,549,258,4.95
35,San Francisco,Room in Mission District,1,2,False,True,True,True,True,True,True,True,True,True,True,True,550,8,5.0
36,San Francisco,Guest suite in Mission District,1,2,False,True,,True,,,,True,True,True,,False,799,23,4.74
37,San Francisco,Boutique hotel in Downtown San Francisco-Union Square,1,2,False,True,,,,,True,True,True,True,True,False,475,289,4.44
38,San Francisco,Place to stay in Potrero Hill,1,2,,True,,,True,,True,,True,,True,False,390,0,0.0
39,San Francisco,Apartment in Outer Sunset,2,3,False,True,,True,True,,,True,True,True,True,False,1052,0,0.0
40,San Francisco,Home in Outer Sunset,1,2,False,True,True,True,True,,,True,True,True,,False,785,4,5.0
41,San Francisco,Room in Potrero Hill,1,2,False,True,True,True,True,True,True,True,True,True,True,True,551,197,4.97
42,San Francisco,Home in Noe Valley,3,6,False,True,True,True,True,,,True,True,True,True,False,714,1,5.0
43,San Francisco,Boutique hotel in San Francisco,1,2,True,True,,,True,,,True,True,True,True,False,734,216,4.57
44,San Francisco,Room in Bernal Heights,1,1,False,True,True,True,True,True,,True,,True,,False,275,141,4.52
45,San Francisco,Room in South of Market,1,2,False,True,True,True,True,True,,,True,,True,False,738,14,4.71
